2014-01-07 21:03:17 install klibc-utils:armhf <none> 2.0.1-3.1+rpi1
2014-01-07 21:03:17 status half-installed klibc-utils:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:17 status unpacked klibc-utils:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:17 status unpacked klibc-utils:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:18 install kmod:armhf <none> 9-3
2014-01-07 21:03:18 status half-installed kmod:armhf 9-3
2014-01-07 21:03:18 status unpacked kmod:armhf 9-3
2014-01-07 21:03:18 status unpacked kmod:armhf 9-3
2014-01-07 21:03:18 install libacl1:armhf <none> 2.2.51-8
2014-01-07 21:03:18 status half-installed libacl1:armhf 2.2.51-8
2014-01-07 21:03:18 status unpacked libacl1:armhf 2.2.51-8
2014-01-07 21:03:18 status unpacked libacl1:armhf 2.2.51-8
2014-01-07 21:03:18 install libattr1:armhf <none> 1:2.4.46-8
2014-01-07 21:03:18 status half-installed libattr1:armhf 1:2.4.46-8
2014-01-07 21:03:19 status unpacked libattr1:armhf 1:2.4.46-8
2014-01-07 21:03:19 status unpacked libattr1:armhf 1:2.4.46-8
2014-01-07 21:03:19 install libblkid1:armhf <none> 2.20.1-5.3
2014-01-07 21:03:19 status half-installed libblkid1:armhf 2.20.1-5.3
2014-01-07 21:03:19 status unpacked libblkid1:armhf 2.20.1-5.3
2014-01-07 21:03:19 status unpacked libblkid1:armhf 2.20.1-5.3
2014-01-07 21:03:19 install libbz2-1.0:armhf <none> 1.0.6-4
2014-01-07 21:03:19 status half-installed libbz2-1.0:armhf 1.0.6-4
2014-01-07 21:03:19 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-01-07 21:03:19 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-01-07 21:03:20 install libc-bin:armhf <none> 2.13-38+rpi2
2014-01-07 21:03:20 status half-installed libc-bin:armhf 2.13-38+rpi2
2014-01-07 21:03:20 status unpacked libc-bin:armhf 2.13-38+rpi2
2014-01-07 21:03:20 status unpacked libc-bin:armhf 2.13-38+rpi2
2014-01-07 21:03:21 upgrade libc6:armhf 2.13-38+rpi2 2.13-38+rpi2
2014-01-07 21:03:21 status half-configured libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:21 status unpacked libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:21 status half-installed libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:28 status half-installed libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:28 status unpacked libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:28 status unpacked libc6:armhf 2.13-38+rpi2
2014-01-07 21:03:28 install libcomerr2:armhf <none> 1.42.5-1.1
2014-01-07 21:03:28 status half-installed libcomerr2:armhf 1.42.5-1.1
2014-01-07 21:03:28 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-01-07 21:03:28 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-01-07 21:03:29 install libdb5.1:armhf <none> 5.1.29-5
2014-01-07 21:03:29 status half-installed libdb5.1:armhf 5.1.29-5
2014-01-07 21:03:29 status unpacked libdb5.1:armhf 5.1.29-5
2014-01-07 21:03:29 status unpacked libdb5.1:armhf 5.1.29-5
2014-01-07 21:03:29 install libdbus-1-3:armhf <none> 1.6.8-1+deb7u1
2014-01-07 21:03:29 status half-installed libdbus-1-3:armhf 1.6.8-1+deb7u1
2014-01-07 21:03:29 status unpacked libdbus-1-3:armhf 1.6.8-1+deb7u1
2014-01-07 21:03:29 status unpacked libdbus-1-3:armhf 1.6.8-1+deb7u1
2014-01-07 21:03:30 install libgcc1:armhf <none> 1:4.7.2-5+rpi1
2014-01-07 21:03:30 status half-installed libgcc1:armhf 1:4.7.2-5+rpi1
2014-01-07 21:03:30 status unpacked libgcc1:armhf 1:4.7.2-5+rpi1
2014-01-07 21:03:30 status unpacked libgcc1:armhf 1:4.7.2-5+rpi1
2014-01-07 21:03:30 install libklibc:armhf <none> 2.0.1-3.1+rpi1
2014-01-07 21:03:30 status half-installed libklibc:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:30 status unpacked libklibc:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:30 status unpacked libklibc:armhf 2.0.1-3.1+rpi1
2014-01-07 21:03:30 install libkmod2:armhf <none> 9-3
2014-01-07 21:03:30 status half-installed libkmod2:armhf 9-3
2014-01-07 21:03:32 status unpacked libkmod2:armhf 9-3
2014-01-07 21:03:32 status unpacked libkmod2:armhf 9-3
2014-01-07 21:03:32 install liblocale-gettext-perl:armhf <none> 1.05-7
2014-01-07 21:03:32 status half-installed liblocale-gettext-perl:armhf 1.05-7
2014-01-07 21:03:32 status unpacked liblocale-gettext-perl:armhf 1.05-7
2014-01-07 21:03:32 status unpacked liblocale-gettext-perl:armhf 1.05-7
2014-01-07 21:03:33 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2014-01-07 21:03:33 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2014-01-07 21:03:33 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-01-07 21:03:33 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-01-07 21:03:33 install libmount1:armhf <none> 2.20.1-5.3
2014-01-07 21:03:33 status half-installed libmount1:armhf 2.20.1-5.3
2014-01-07 21:03:33 status unpacked libmount1:armhf 2.20.1-5.3
2014-01-07 21:03:33 status unpacked libmount1:armhf 2.20.1-5.3
2014-01-07 21:03:34 install libncurses5:armhf <none> 5.9-10
2014-01-07 21:03:34 status half-installed libncurses5:armhf 5.9-10
2014-01-07 21:03:34 status unpacked libncurses5:armhf 5.9-10
2014-01-07 21:03:34 status unpacked libncurses5:armhf 5.9-10
2014-01-07 21:03:34 install libncursesw5:armhf <none> 5.9-10
2014-01-07 21:03:34 status half-installed libncursesw5:armhf 5.9-10
2014-01-07 21:03:34 status unpacked libncursesw5:armhf 5.9-10
2014-01-07 21:03:34 status unpacked libncursesw5:armhf 5.9-10
2014-01-07 21:03:34 install libnih-dbus1:armhf <none> 1.0.3-4.1
2014-01-07 21:03:34 status half-installed libnih-dbus1:armhf 1.0.3-4.1
2014-01-07 21:03:35 status unpacked libnih-dbus1:armhf 1.0.3-4.1
2014-01-07 21:03:35 status unpacked libnih-dbus1:armhf 1.0.3-4.1
2014-01-07 21:03:35 install libnih1:armhf <none> 1.0.3-4.1
2014-01-07 21:03:35 status half-installed libnih1:armhf 1.0.3-4.1
2014-01-07 21:03:35 status unpacked libnih1:armhf 1.0.3-4.1
2014-01-07 21:03:35 status unpacked libnih1:armhf 1.0.3-4.1
2014-01-07 21:03:35 install libpam-modules:armhf <none> 1.1.3-7.1
2014-01-07 21:03:35 status half-installed libpam-modules:armhf 1.1.3-7.1
2014-01-07 21:03:38 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-01-07 21:03:38 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-01-07 21:03:38 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2014-01-07 21:03:38 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2014-01-07 21:03:39 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-01-07 21:03:39 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-01-07 21:03:39 install libpam-runtime:all <none> 1.1.3-7.1
2014-01-07 21:03:39 status half-installed libpam-runtime:all 1.1.3-7.1
2014-01-07 21:03:39 status unpacked libpam-runtime:all 1.1.3-7.1
2014-01-07 21:03:39 status unpacked libpam-runtime:all 1.1.3-7.1
2014-01-07 21:03:40 install libpam0g:armhf <none> 1.1.3-7.1
2014-01-07 21:03:40 status half-installed libpam0g:armhf 1.1.3-7.1
2014-01-07 21:03:40 status unpacked libpam0g:armhf 1.1.3-7.1
2014-01-07 21:03:40 status unpacked libpam0g:armhf 1.1.3-7.1
2014-01-07 21:03:40 install libprocps0:armhf <none> 1:3.3.3-3
2014-01-07 21:03:40 status half-installed libprocps0:armhf 1:3.3.3-3
2014-01-07 21:03:40 status unpacked libprocps0:armhf 1:3.3.3-3
2014-01-07 21:03:40 status unpacked libprocps0:armhf 1:3.3.3-3
2014-01-07 21:03:40 install libselinux1:armhf <none> 2.1.9-5
2014-01-07 21:03:40 status half-installed libselinux1:armhf 2.1.9-5
2014-01-07 21:03:41 status unpacked libselinux1:armhf 2.1.9-5
2014-01-07 21:03:41 status unpacked libselinux1:armhf 2.1.9-5
2014-01-07 21:03:41 install libsemanage-common:all <none> 2.1.6-6
2014-01-07 21:03:41 status half-installed libsemanage-common:all 2.1.6-6
2014-01-07 21:03:41 status unpacked libsemanage-common:all 2.1.6-6
2014-01-07 21:03:41 status unpacked libsemanage-common:all 2.1.6-6
2014-01-07 21:03:42 install libsemanage1:armhf <none> 2.1.6-6
2014-01-07 21:03:42 status half-installed libsemanage1:armhf 2.1.6-6
2014-01-07 21:03:42 status unpacked libsemanage1:armhf 2.1.6-6
2014-01-07 21:03:42 status unpacked libsemanage1:armhf 2.1.6-6
2014-01-07 21:03:42 install libsepol1:armhf <none> 2.1.4-3
2014-01-07 21:03:42 status half-installed libsepol1:armhf 2.1.4-3
2014-01-07 21:03:42 status unpacked libsepol1:armhf 2.1.4-3
2014-01-07 21:03:42 status unpacked libsepol1:armhf 2.1.4-3
